Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Total Curricular Units 1st Semester,Total Curricular Units 2nd Semester,Total Credits Earned,Total Units Enrolled,Weighted Grade 1st Semester,Weighted Grade 2nd Semester,GPA
0,7,0.44183275227903923,1,1,0,0.3518528716985554,0,12,9,5,9,0.4311850258396767,1,0,0,1,1,0,0.05505977718302734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.1053605156578263,10,1,0,0.8470532096446701,0,0,2,3,3,0.6340956262348187,1,0,0,0,1,0,0.037041271680349014,0,0.0,0.20763936477824443,0.1333333333333333,0.2307692307692307,0.5543107357057295,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.5519056495094553,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,0,0.44183275227903923,4,1,0,0.3518528716985554,0,21,26,9,9,0.3978115718273178,1,0,0,0,1,0,0.037041271680349014,0,0.0,0.20763936477824443,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,7,0.20067069546215116,14,1,0,0.3518528716985554,0,22,26,5,3,0.3283947874816113,1,0,0,1,0,0,0.05505977718302734,0,0.0,0.20763936477824443,0.1777777777777777,0.2307692307692307,0.5359053081630142,0.0,0.0,0.2608695652173913,0.303030303030303,0.25,0.5108256237659907,0.0,0.2093023255813954,0.0,0.1241743725231175,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
1,11,0.1053605156578263,2,0,0,0.065157939203436,0,21,27,9,9,0.620746244629875,0,0,0,1,0,0,0.42415724112031683,0,0.0,0.20763936477824443,0.2,0.1923076923076923,0.50125617274984,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.5299955398737108,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
1,11,0.1053605156578263,16,0,11,0.4965034967301835,0,21,26,9,7,0.2643177557778824,0,0,1,1,1,0,0.48405538270138593,0,0.0,0.1758906664636642,0.2222222222222222,0.1923076923076923,0.4883527679139321,0.0,0.0,0.217391304347826,0.5151515151515151,0.25,0.48136359103567444,0.3483066942682157,1.0,0.2444444444444444,0.4147952443857331,2,0.1758906664636642,0.19671029424605416,0.0,0.3433762040512237,0.0,0.0,0.0
0,0,0.1053605156578263,11,1,0,0.6124846285123,0,12,27,7,10,0.4458693456051146,1,0,0,1,0,1,0.018692133012152463,0,0.0,0.23841102344499823,0.2,0.2692307692307693,0.5328045304847661,0.0,0.0,0.3478260869565217,0.2424242424242424,0.4,0.5703110770521707,0.0,0.9186046511627908,0.7999999999999999,0.0,2,0.23841102344499823,0.2984929885559965,0.0,0.4806077415026626,0.0,0.0,0.0
0,8,0.36772478012531734,10,1,0,0.3127581081764936,0,21,26,9,9,0.2416238070494782,1,0,0,0,1,0,0.09015109699429746,0,0.0,0.1758906664636642,0.1111111111111111,0.0,0.0,0.0,0.0,0.217391304347826,0.1515151515151515,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,0,0.1758906664636642,0.19671029424605416,0.0,0.3433762040512237,0.0,0.0,0.0
0,0,0.2876820724517809,9,1,0,0.5473266893088637,14,0,0,9,9,0.4578837890495639,0,0,0,1,0,1,0.07275935428242827,1,0.0,0.20763936477824443,0.1777777777777777,0.2307692307692307,0.5512665933245015,0.0,0.0,0.2608695652173913,0.2121212121212121,0.3,0.5642134971840521,0.0,1.0,0.2444444444444444,0.4147952443857331,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,0,0.1053605156578263,9,1,0,0.560358277149551,0,0,13,4,7,0.3737826849384194,1,0,1,0,0,0,0.018692133012152463,0,0.0,0.20763936477824443,0.2,0.1923076923076923,0.4719857904497268,0.0,0.0,0.2608695652173913,0.4242424242424242,0.1,0.5456944494168147,0.0,0.1511627906976745,0.4888888888888888,1.0,0,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,0,0.1053605156578263,13,1,0,0.5733898649902383,0,22,13,5,7,0.4752379851359902,1,0,0,1,0,0,0.018692133012152463,0,0.0,0.20763936477824443,0.1333333333333333,0.2307692307692307,0.50125617274984,0.0,0.0,0.2608695652173913,0.2121212121212121,0.25,0.5672669346709425,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,0,0.1053605156578263,11,1,0,0.5342951014681765,0,12,27,9,9,0.3243899730001283,1,0,0,1,0,1,0.018692133012152463,0,0.0,0.26826398659467937,0.1777777777777777,0.2692307692307693,0.5296941080703734,0.0,0.0,0.3478260869565217,0.2424242424242424,0.35,0.5363047090669756,0.0,0.5930232558139535,1.0,0.3117569352708058,2,0.26826398659467937,0.2984929885559965,0.0,0.5041141891780039,0.0,0.0,0.0
0,0,0.20067069546215116,15,1,0,0.4952003379461149,0,12,26,4,9,0.4698982324940128,1,0,0,1,0,0,0.037041271680349014,0,0.0,0.20763936477824443,0.1333333333333333,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.5930232558139535,1.0,0.3117569352708058,0,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
0,16,0.1053605156578263,10,1,15,0.1954738176103085,0,0,0,4,7,0.2242696109630517,1,0,0,1,0,1,0.07275935428242827,0,0.0,0.20763936477824443,0.1555555555555555,0.2307692307692307,0.44522834128017746,0.0,0.0,0.2608695652173913,0.2424242424242424,0.25,0.4646127806108591,0.0,0.1511627906976745,0.4888888888888888,1.0,2,0.20763936477824443,0.23180161405732433,0.0,0.3998753786293776,0.0,0.0,0.0
